cardname,cardnumber,imageurl,setname,rarity,setcode
Abysslayer Leviaknight,RD/KP14-JP023,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19300&ciid=1&enc=K5V8cPZX5To9piA56aLwRg&app=tournament&request_locale=ja,轟炎のフェニックス,SE,RD/KP14
Abysslayer Leviaknight,RD/KP14-JP023,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19300&ciid=1&enc=K5V8cPZX5To9piA56aLwRg&app=tournament&request_locale=ja,轟炎のフェニックス,UR,RD/KP14
Abysskite Ange,RD/5TH1-JP110,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Ange,RD/KP14-JP024,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,轟炎のフェニックス,R,RD/KP14
Abysskite Ange,RD/KP14-JP024,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,轟炎のフェニックス,SE,RD/KP14
Abysskite Liem,RD/5TH1-JP111,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Liem,RD/KP14-JP025,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,轟炎のフェニックス,R,RD/KP14
Abysskite Liem,RD/KP14-JP025,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,轟炎のフェニックス,SE,RD/KP14
Abysskite Karen,RD/5TH1-JP112,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SR,RD/5TH1
Abysskite Karen,RD/KP14-JP026,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,轟炎のフェニックス,R,RD/KP14
Abysskite Karen,RD/KP14-JP026,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,轟炎のフェニックス,SE,RD/KP14
All-Seeing Harvey,RD/SD0F-JP018,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,ストラクチャーデッキ 帝王の凱旋,N,RD/SD0F
All-Seeing Harvey,RD/KP14-JP040,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19317&ciid=101&enc=k_CeeLCtGDdqxXW9M8id9w,轟炎のフェニックス,ORR,RD/KP14
All-Seeing Harvey,RD/KP14-JP040,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,轟炎のフェニックス,SE,RD/KP14
All-Seeing Harvey,RD/KP14-JP040,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,轟炎のフェニックス,UR,RD/KP14
Absolute Lord of D.,RD/AP01-JP080,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,アドバンスパック デビルズ・セレモニー,SE,RD/AP01
Absolute Lord of D.,RD/SD0A-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,ストラクチャーデッキ 究極の青眼伝説,N,RD/SD0A
Absolute Lord of D.,RD/SD0A-JPS04,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,ストラクチャーデッキ 究極の青眼伝説 特典カード,SR,RD/SD0A
Accel Wonder Light,RD/SD0E-JP016,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,ストラクチャーデッキ 黒魔術の儀式,P,RD/SD0E
Accel Wonder Light,RD/5TH1-JP135,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,SE,RD/5TH1
Accel Wonder Light,RD/MRP2-JP012,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,メガロードパック２,SR,RD/MRP2
Alligator's Black Knight,RD/KP15-JP026,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19661&ciid=1&enc=BWRiMlyUNNqQyl0bj3s1Qw&app=tournament&request_locale=ja,闇黒のレッドリブート,N,RD/KP15
Abysskite Miracle Girls,RD/HC01-JP040,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19778&ciid=101&enc=-WtXwGEGMwhpDnTywpikdA,ハイグレードコレクション,ORR,RD/HC01
Abysskite Miracle Girls,RD/HC01-JP040,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19778&ciid=1&enc=-WtXwGEGMwhpDnTywpikdA&app=tournament&request_locale=ja,ハイグレードコレクション,SR,RD/HC01
Abysspiny Turtle,RD/HC01-JP081,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19797&ciid=1&enc=fS_hcmQ15ed0t620gx8h4w&app=tournament&request_locale=ja,ハイグレードコレクション,N,RD/HC01
Abysspiny Turtle,RD/HC01-JP081,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19797&ciid=1&enc=fS_hcmQ15ed0t620gx8h4w&app=tournament&request_locale=ja,ハイグレードコレクション,SR,RD/HC01
Abysslayer Quintiamat,RD/KP16-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19969&ciid=101&enc=LooN5XZS2CQW4JLGKMMUqw,超越のトランザム,ORR,RD/KP16
Abysslayer Quintiamat,RD/KP16-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19969&ciid=1&enc=LooN5XZS2CQW4JLGKMMUqw&app=tournament&request_locale=ja,超越のトランザム,SE,RD/KP16
Abysslayer Quintiamat,RD/KP16-JP021,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19969&ciid=1&enc=LooN5XZS2CQW4JLGKMMUqw&app=tournament&request_locale=ja,超越のトランザム,UR,RD/KP16
Agent Mishap,RD/KP16-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19970&ciid=1&enc=cECnAhnqX4XUvYXEJ-qsgg&app=tournament&request_locale=ja,超越のトランザム,R,RD/KP16
Animagica Witch,RD/TB02-JP070,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,トリプルビルドパック エボリューション・インパクト,P,RD/TB02
Animagica Witch,RD/KP16-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,超越のトランザム,SE,RD/KP16
Animagica Witch,RD/KP16-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,超越のトランザム,SR,RD/KP16
Alpha the Magnet Cavalry,RD/ORP2-JP026,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20107&ciid=1&enc=nfLoIArY_jjh48rWUkcEDw&app=tournament&request_locale=ja,オーバーラッシュパック２,N,RD/ORP2
Alpha The Magnet Warrior,RD/ORP2-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20110&ciid=1&enc=OUb9cwMNeKR385NqRhj4jw&app=tournament&request_locale=ja,オーバーラッシュパック２,P+UR,RD/ORP2
Alpha The Magnet Warrior,RD/ORP2-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20110&ciid=1&enc=OUb9cwMNeKR385NqRhj4jw&app=tournament&request_locale=ja,オーバーラッシュパック２,SR,RD/ORP2
Alpha The Eternal Magnet Warrior,RD/ORP2-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20113&ciid=1&enc=mYW65vHh9av450bZER73nQ&app=tournament&request_locale=ja,オーバーラッシュパック２,SE,RD/ORP2
Alpha The Eternal Magnet Warrior,RD/ORP2-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20113&ciid=1&enc=mYW65vHh9av450bZER73nQ&app=tournament&request_locale=ja,オーバーラッシュパック２,SR,RD/ORP2
All Love Goddess,RD/ORP2-JP039,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=20120&ciid=101&enc=cKifsrhs4XEGD7oZY7e3Hg,オーバーラッシュパック２,ORR,RD/ORP2
All Love Goddess,RD/ORP2-JP039,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20120&ciid=1&enc=cKifsrhs4XEGD7oZY7e3Hg&app=tournament&request_locale=ja,オーバーラッシュパック２,UR,RD/ORP2
Animagica Leader,RD/ORP2-JP074,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=20147&ciid=101&enc=SYpW64yWrvslUEJB-DwOfA,オーバーラッシュパック２,ORR,RD/ORP2
Animagica Leader,RD/ORP2-JP074,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20147&ciid=1&enc=SYpW64yWrvslUEJB-DwOfA&app=tournament&request_locale=ja,オーバーラッシュパック２,UR,RD/ORP2
Advance Form,RD/SD0F-JP012,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20329&ciid=1&enc=7lRD_z-B1aw1G6Swr_ubMQ&app=tournament&request_locale=ja,ストラクチャーデッキ 帝王の凱旋,N,RD/SD0F
Advance Form,RD/KP17-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20329&ciid=1&enc=7lRD_z-B1aw1G6Swr_ubMQ&app=tournament&request_locale=ja,覚醒のバーストレックス,N,RD/KP17
Ancient Gear Golem,RD/LGP2-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=20838&ciid=101&enc=QRaRyV2e6OlYTI7uYVve0g,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Golem,RD/LGP2-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20838&ciid=1&enc=QRaRyV2e6OlYTI7uYVve0g&app=tournament&request_locale=ja,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Tyranno,RD/LGP2-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=20839&ciid=101&enc=MvR_tV0jAXziin7kLIOpuw,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Tyranno,RD/LGP2-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20839&ciid=1&enc=MvR_tV0jAXziin7kLIOpuw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Powered Soldier,RD/LGP2-JP006,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=20840&ciid=101&enc=2Kxp0vqmC2sd6HhTSl-Obw,真・レジェンド覚醒パック,ORR,RD/LGP2
Ancient Gear Powered Soldier,RD/LGP2-JP006,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20840&ciid=1&enc=2Kxp0vqmC2sd6HhTSl-Obw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,UR,RD/LGP2
Ancient Gear Beast,RD/LGP2-JP007,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20841&ciid=1&enc=v6YWk3COKhUJfTTrrlQrDg&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Beast,RD/LGP2-JP007,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20841&ciid=1&enc=v6YWk3COKhUJfTTrrlQrDg&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Soldier,RD/LGP2-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20842&ciid=1&enc=cP3gRX_LFV6Q1yGgX5fmKw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Soldier,RD/LGP2-JP008,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20842&ciid=1&enc=cP3gRX_LFV6Q1yGgX5fmKw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Medic,RD/LGP2-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20843&ciid=1&enc=WbhaYsrClO6d8YUj-sM1Sw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Medic,RD/LGP2-JP009,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20843&ciid=1&enc=WbhaYsrClO6d8YUj-sM1Sw&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SR,RD/LGP2
Ancient Gear Supplier,RD/LGP2-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20844&ciid=1&enc=oIJBGEkSSPH1sBWQb-o8KA&app=tournament&request_locale=ja,真・レジェンド覚醒パック,N,RD/LGP2
Ancient Gear Supplier,RD/LGP2-JP010,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20844&ciid=1&enc=oIJBGEkSSPH1sBWQb-o8KA&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Crown,RD/LGP2-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20845&ciid=1&enc=JuFOBX6CvBQE_kqvM_4dtg&app=tournament&request_locale=ja,真・レジェンド覚醒パック,N,RD/LGP2
Ancient Gear Crown,RD/LGP2-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20845&ciid=1&enc=JuFOBX6CvBQE_kqvM_4dtg&app=tournament&request_locale=ja,真・レジェンド覚醒パック,SE,RD/LGP2
Ancient Gear Gadjiltron Manticore,RD/B244-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20969&ciid=1&enc=aZ9PUVGOneIzy_MSF-dg2A&app=tournament&request_locale=ja,バトルパック 2024 Vol.4,SR,RD/B244
Ancient Gear Gadjiltron Manticore,RD/KP19-JP018,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20969&ciid=1&enc=aZ9PUVGOneIzy_MSF-dg2A&app=tournament&request_locale=ja,灼熱のサラマンデウス,N,RD/KP19
Ancient Gear Gadjiltron Baena,RD/KP19-JP019,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20970&ciid=1&enc=mVHkDRlaCLRFn5x2zceuUg&app=tournament&request_locale=ja,灼熱のサラマンデウス,SE,RD/KP19
Ancient Gear Gadjiltron Baena,RD/KP19-JP019,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20970&ciid=1&enc=mVHkDRlaCLRFn5x2zceuUg&app=tournament&request_locale=ja,灼熱のサラマンデウス,SR,RD/KP19
Animal Doctor Lily,RD/KP19-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20973&ciid=1&enc=-Zc4zGb5xKWWvc7uMLN0KA&app=tournament&request_locale=ja,灼熱のサラマンデウス,SE,RD/KP19
Animal Doctor Lily,RD/KP19-JP022,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20973&ciid=1&enc=-Zc4zGb5xKWWvc7uMLN0KA&app=tournament&request_locale=ja,灼熱のサラマンデウス,SR,RD/KP19
Alchemicalize Orb,RD/KP19-JP037,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=20988&ciid=1&enc=t2D0dVMPpt4MjoVFkkZ-6g&app=tournament&request_locale=ja,灼熱のサラマンデウス,N,RD/KP19
Animagica Trader,RD/B251-JP003,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21277&ciid=1&enc=qVk1xLwzSJSdw8fzc3xfEQ&app=tournament&request_locale=ja,バトルパック 2025 Vol.1,SR,RD/B251
Animagica Trader,RD/KP20-JP026,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21277&ciid=1&enc=qVk1xLwzSJSdw8fzc3xfEQ&app=tournament&request_locale=ja,悠久のギャラクティカ,N,RD/KP20
Animagica Gardna,RD/B254-JP006,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21278&ciid=1&enc=hZ0QFHFFHNi4hmghmSx0EA&app=tournament&request_locale=ja,バトルパック2025 Vol.4,N,RD/B254
Animagica Gardna,RD/B254-JP006,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21278&ciid=1&enc=hZ0QFHFFHNi4hmghmSx0EA&app=tournament&request_locale=ja,バトルパック2025 Vol.4,SR,RD/B254
Animagica Gardna,RD/KP20-JP027,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21278&ciid=1&enc=hZ0QFHFFHNi4hmghmSx0EA&app=tournament&request_locale=ja,悠久のギャラクティカ,R,RD/KP20
Animagica Gardna,RD/KP20-JP027,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21278&ciid=1&enc=hZ0QFHFFHNi4hmghmSx0EA&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Animagica Sorcerer,RD/KP20-JP028,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21279&ciid=1&enc=Z3dJuFMLr78Zl5qTUq9fNw&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Animagica Sorcerer,RD/KP20-JP028,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21279&ciid=1&enc=Z3dJuFMLr78Zl5qTUq9fNw&app=tournament&request_locale=ja,悠久のギャラクティカ,SR,RD/KP20
Animagica Knight,RD/KP20-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21280&ciid=1&enc=To5lSjNhv7n3MDUoPhPKwg&app=tournament&request_locale=ja,悠久のギャラクティカ,R,RD/KP20
Animagica Knight,RD/KP20-JP029,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21280&ciid=1&enc=To5lSjNhv7n3MDUoPhPKwg&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Animagica Double Saber,RD/B251-JP004,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21281&ciid=1&enc=MrmUzCKCSt4kX8_d6ji86g&app=tournament&request_locale=ja,バトルパック 2025 Vol.1,SR,RD/B251
Animagica Double Saber,RD/KP20-JP030,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21281&ciid=1&enc=MrmUzCKCSt4kX8_d6ji86g&app=tournament&request_locale=ja,悠久のギャラクティカ,N,RD/KP20
Animagica Whip,RD/KP20-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21282&ciid=1&enc=xf9gYf-JDfxJCYF6qsX3PA&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Animagica Whip,RD/KP20-JP031,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21282&ciid=1&enc=xf9gYf-JDfxJCYF6qsX3PA&app=tournament&request_locale=ja,悠久のギャラクティカ,SR,RD/KP20
Animagica Shooter,RD/KP20-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=21283&ciid=101&enc=dTwM4-nLVGHDdRuGWHiCbA,悠久のギャラクティカ,ORR,RD/KP20
Animagica Shooter,RD/KP20-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21283&ciid=1&enc=dTwM4-nLVGHDdRuGWHiCbA&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Animagica Shooter,RD/KP20-JP032,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21283&ciid=1&enc=dTwM4-nLVGHDdRuGWHiCbA&app=tournament&request_locale=ja,悠久のギャラクティカ,UR,RD/KP20
Aise the Snowmaiden of Sacred Splendor,RD/KP20-JP036,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21287&ciid=1&enc=qQMVWsoYqhBqRxjvR9gsCA&app=tournament&request_locale=ja,悠久のギャラクティカ,R,RD/KP20
Aise the Snowmaiden of Sacred Splendor,RD/KP20-JP036,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21287&ciid=1&enc=qQMVWsoYqhBqRxjvR9gsCA&app=tournament&request_locale=ja,悠久のギャラクティカ,SE,RD/KP20
Ancient Gear Megaton Golem,RD/5TH1-JP030,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=21502&ciid=101&enc=nPmYdiF2amjiV236vCOGug,5th ANNIVERSARY PACK,ORR,RD/5TH1
Ancient Gear Megaton Golem,RD/5TH1-JP030,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21502&ciid=1&enc=nPmYdiF2amjiV236vCOGug&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,UR,RD/5TH1
Abysskite Ulti-Ange,RD/5TH1-JP036,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=21508&ciid=101&enc=qfJ6WgzHhTP1HWvjkh3HPQ,5th ANNIVERSARY PACK,ORR,RD/5TH1
Abysskite Ulti-Ange,RD/5TH1-JP036,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21508&ciid=1&enc=qfJ6WgzHhTP1HWvjkh3HPQ&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,UR,RD/5TH1
Ancient Gear Hunting Hound,RD/5TH1-JP048,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21520&ciid=1&enc=9Z92njRT8u5HwX6CC4b9fQ&app=tournament&request_locale=ja,5th ANNIVERSARY PACK,UR,RD/5TH1
Accel Wonder Dark,RD/KP21-JP005,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21649&ciid=1&enc=c60WNgYXyXIaubRSKjV7Jw&app=tournament&request_locale=ja,進撃のアクセルロード,R,RD/KP21
Alpiris the Nurturer,RD/KP21-JP041,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21685&ciid=1&enc=1mDzRy4xVb5QkXZmc4xAtQ&app=tournament&request_locale=ja,進撃のアクセルロード,N,RD/KP21
Abysskite Kaleido-Karen,RD/KP22-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=21987&ciid=101&enc=lpYdNsL4sJYi70rkW6YTzA,戦慄のアウターバース,ORR,RD/KP22
Abysskite Kaleido-Karen,RD/KP22-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21987&ciid=1&enc=lpYdNsL4sJYi70rkW6YTzA&app=tournament&request_locale=ja,戦慄のアウターバース,SE,RD/KP22
Abysskite Kaleido-Karen,RD/KP22-JP011,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=21987&ciid=1&enc=lpYdNsL4sJYi70rkW6YTzA&app=tournament&request_locale=ja,戦慄のアウターバース,UR,RD/KP22
Abad the Negahell Emperor,RD/KP22-JPS00,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=22043&ciid=202&enc=TDMVwD8AqBy3-9GNHvs9eQ,戦慄のアウターバース,ORR,RD/KP22
Abad the Negahell Emperor,RD/KP22-JPS00,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=22043&ciid=1&enc=TDMVwD8AqBy3-9GNHvs9eQ&app=tournament&request_locale=ja,戦慄のアウターバース,SR,RD/KP22
Absorbing Fiend's Mirror,RD/KP25-JP045,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=23242&ciid=1&enc=ez7Gv_5Pz6bxQj2sUONpag&app=tournament&request_locale=ja,極光のライジング,R,RD/KP25
