cardname,cardnumber,rarity,rarity_full,setcode,setname,cid,ciid,image_mapping_source,image_mapping_notes,imageurl,local_path,validation_status,validation_notes
Altierra the Skysavior Transience,RD/5TH1-JP053,P+SR,パラレル仕様スーパーレア,RD/5TH1,5th ANNIVERSARY PACK,18621,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
Altierra the Skysavior Transience,RD/5TH1-JP053,SE,シークレットレア仕様,RD/5TH1,5th ANNIVERSARY PACK,18621,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
Altierra the Skysavior Transience,RD/B231-JP004,N,ノーマル仕様,RD/B231,バトルパック 2023 Vol.1,18621,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
Altierra the Skysavior Transience,RD/B231-JP004,SR,スーパーレア仕様,RD/B231,バトルパック 2023 Vol.1,18621,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
Altierra the Skysavior Transience,RD/KP12-JP039,R,レア仕様,RD/KP12,デッキ改造パック　強襲のダブルスター！！,18621,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18621&ciid=1&enc=5-RdJZ9EG-zpZ67rjn94Dw&app=tournament&request_locale=ja,images\18621_1.jpg,OK,
Aitsu,RD/B224-JP009,N,ノーマル仕様,RD/B224,バトルパック 2022 Vol.4,18652,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18652&ciid=1&enc=4EdGwjbp0OY8pWdhJX7Tgg&app=tournament&request_locale=ja,images\18652_1.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18757,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18757&ciid=101&enc=P6uk90NkKHXogH-Y0yR-Kw,images\18757_101.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra [L],RD/VSP1-JP013,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18757,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18757&ciid=1&enc=P6uk90NkKHXogH-Y0yR-Kw&app=tournament&request_locale=ja,images\18757_1.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18758,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18758&ciid=101&enc=EuZth4Cl0khEDt_e1j7mmA,images\18758_101.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra,RD/VSP1-JP014,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18758,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18758&ciid=1&enc=EuZth4Cl0khEDt_e1j7mmA&app=tournament&request_locale=ja,images\18758_1.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18759,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18759&ciid=101&enc=SFsUkK1QO2-QlR7Nq2TReg,images\18759_101.jpg,OK,
Abyssal Dragon Lord Abyss Poseidra [R],RD/VSP1-JP015,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18759,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18759&ciid=1&enc=SFsUkK1QO2-QlR7Nq2TReg&app=tournament&request_locale=ja,images\18759_1.jpg,OK,
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18760,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18760&ciid=101&enc=lnc4mgcVv2vRWBXmLwTGCA,images\18760_101.jpg,OK,
Abyssal Sea Dragon Abyss Kraken [L],RD/VSP1-JP016,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18760,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18760&ciid=1&enc=lnc4mgcVv2vRWBXmLwTGCA&app=tournament&request_locale=ja,images\18760_1.jpg,OK,
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18761,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18761&ciid=101&enc=A4XeYP-HwSphA60i3VDSMw,images\18761_101.jpg,OK,
Abyssal Sea Dragon Abyss Kraken,RD/VSP1-JP017,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18761,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18761&ciid=1&enc=A4XeYP-HwSphA60i3VDSMw&app=tournament&request_locale=ja,images\18761_1.jpg,OK,
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,ORR,オーバーラッシュレア仕様,RD/VSP1,VSパック マキシマム・フォース,18762,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=18762&ciid=101&enc=MTQwXOCkmNBZ7E0iJBF84w,images\18762_101.jpg,OK,
Abyssal Sea Dragon Abyss Kraken [R],RD/VSP1-JP018,P,パラレル仕様,RD/VSP1,VSパック マキシマム・フォース,18762,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18762&ciid=1&enc=MTQwXOCkmNBZ7E0iJBF84w&app=tournament&request_locale=ja,images\18762_1.jpg,OK,
Abysslayer Apsaras,RD/VSP1-JP028,SE,シークレットレア仕様,RD/VSP1,VSパック マキシマム・フォース,18769,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18769&ciid=1&enc=GqnNHyejK9Y6Qg7DHp986g&app=tournament&request_locale=ja,images\18769_1.jpg,OK,
Abysslayer Apsaras,RD/VSP1-JP028,SR,スーパーレア仕様,RD/VSP1,VSパック マキシマム・フォース,18769,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18769&ciid=1&enc=GqnNHyejK9Y6Qg7DHp986g&app=tournament&request_locale=ja,images\18769_1.jpg,OK,
Abysslayer Makara,RD/VSP1-JP029,N,ノーマル仕様,RD/VSP1,VSパック マキシマム・フォース,18770,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18770&ciid=1&enc=V40fpaD10iZV0Qa1FQ9icg&app=tournament&request_locale=ja,images\18770_1.jpg,OK,
Abysslayer Cetus,RD/VSP1-JP030,N,ノーマル仕様,RD/VSP1,VSパック マキシマム・フォース,18771,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18771&ciid=1&enc=WPs59HJaFLke5ubGqgkzZg&app=tournament&request_locale=ja,images\18771_1.jpg,OK,
Abysslayer Vodyanoy,RD/5TH1-JP109,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,18772,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18772&ciid=1&enc=g9NCXu7mFd1pOegueFkVrw&app=tournament&request_locale=ja,images\18772_1.jpg,OK,
Abysslayer Vodyanoy,RD/VSP1-JP031,N,ノーマル仕様,RD/VSP1,VSパック マキシマム・フォース,18772,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18772&ciid=1&enc=g9NCXu7mFd1pOegueFkVrw&app=tournament&request_locale=ja,images\18772_1.jpg,OK,
Aero Sorcerer,RD/TH02-JP007,N,ノーマル仕様,RD/TH02,ハーフデッキ 魔法使い族,18931,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18931&ciid=1&enc=xEC58CdOi_EH2L9i6Wddeg&app=tournament&request_locale=ja,images\18931_1.jpg,OK,
Aero Sorcerer,RD/KP13-JP002,N,ノーマル仕様,RD/KP13,閃光のオブリビオン,18931,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=18931&ciid=1&enc=xEC58CdOi_EH2L9i6Wddeg&app=tournament&request_locale=ja,images\18931_1.jpg,OK,
Agent Miscast,RD/5TH1-JP113,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19295,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19295&ciid=1&enc=ooHkZpl2-4pXEd2WouFGjg&app=tournament&request_locale=ja,images\19295_1.jpg,OK,
Agent Miscast,RD/KP14-JP018,N,ノーマル仕様,RD/KP14,轟炎のフェニックス,19295,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19295&ciid=1&enc=ooHkZpl2-4pXEd2WouFGjg&app=tournament&request_locale=ja,images\19295_1.jpg,OK,
Agent Mistake,RD/5TH1-JP114,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19296,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19296&ciid=1&enc=tRduTRwLGLU-Y-SP8b1kZA&app=tournament&request_locale=ja,images\19296_1.jpg,OK,
Agent Mistake,RD/KP14-JP019,N,ノーマル仕様,RD/KP14,轟炎のフェニックス,19296,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19296&ciid=1&enc=tRduTRwLGLU-Y-SP8b1kZA&app=tournament&request_locale=ja,images\19296_1.jpg,OK,
Agent Mismatch,RD/KP14-JP020,N,ノーマル仕様,RD/KP14,轟炎のフェニックス,19297,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19297&ciid=1&enc=8MRZqd3X87tkPir6gsRA6w&app=tournament&request_locale=ja,images\19297_1.jpg,OK,
Agent Mislead,RD/KP14-JP021,N,ノーマル仕様,RD/KP14,轟炎のフェニックス,19298,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19298&ciid=1&enc=qODbvFmjTwHuMh47mkmUog&app=tournament&request_locale=ja,images\19298_1.jpg,OK,
Abysslayer Leviaknight,RD/KP14-JP023,ORR,オーバーラッシュレア仕様,RD/KP14,轟炎のフェニックス,19300,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19300&ciid=101&enc=K5V8cPZX5To9piA56aLwRg,images\19300_101.jpg,OK,
Abysslayer Leviaknight,RD/KP14-JP023,SE,シークレットレア仕様,RD/KP14,轟炎のフェニックス,19300,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19300&ciid=1&enc=K5V8cPZX5To9piA56aLwRg&app=tournament&request_locale=ja,images\19300_1.jpg,OK,
Abysslayer Leviaknight,RD/KP14-JP023,UR,ウルトラレア仕様,RD/KP14,轟炎のフェニックス,19300,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19300&ciid=1&enc=K5V8cPZX5To9piA56aLwRg&app=tournament&request_locale=ja,images\19300_1.jpg,OK,
Abysskite Ange,RD/5TH1-JP110,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19301,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,images\19301_1.jpg,OK,
Abysskite Ange,RD/KP14-JP024,R,レア仕様,RD/KP14,轟炎のフェニックス,19301,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,images\19301_1.jpg,OK,
Abysskite Ange,RD/KP14-JP024,SE,シークレットレア仕様,RD/KP14,轟炎のフェニックス,19301,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19301&ciid=1&enc=2CrpWYpwlpg5BLW0lvbe4A&app=tournament&request_locale=ja,images\19301_1.jpg,OK,
Abysskite Liem,RD/5TH1-JP111,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19302,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,images\19302_1.jpg,OK,
Abysskite Liem,RD/KP14-JP025,R,レア仕様,RD/KP14,轟炎のフェニックス,19302,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,images\19302_1.jpg,OK,
Abysskite Liem,RD/KP14-JP025,SE,シークレットレア仕様,RD/KP14,轟炎のフェニックス,19302,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19302&ciid=1&enc=l2WTa7Ui7w2GCT0lUirpJw&app=tournament&request_locale=ja,images\19302_1.jpg,OK,
Abysskite Karen,RD/5TH1-JP112,SR,スーパーレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19303,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,images\19303_1.jpg,OK,
Abysskite Karen,RD/KP14-JP026,R,レア仕様,RD/KP14,轟炎のフェニックス,19303,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,images\19303_1.jpg,OK,
Abysskite Karen,RD/KP14-JP026,SE,シークレットレア仕様,RD/KP14,轟炎のフェニックス,19303,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19303&ciid=1&enc=kAtgk6oMO9gy1G86RaNiww&app=tournament&request_locale=ja,images\19303_1.jpg,OK,
All-Seeing Harvey,RD/SD0F-JP018,N,ノーマル仕様,RD/SD0F,ストラクチャーデッキ 帝王の凱旋,19317,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,images\19317_1.jpg,OK,
All-Seeing Harvey,RD/KP14-JP040,ORR,オーバーラッシュレア仕様,RD/KP14,轟炎のフェニックス,19317,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19317&ciid=101&enc=k_CeeLCtGDdqxXW9M8id9w,images\19317_101.jpg,OK,
All-Seeing Harvey,RD/KP14-JP040,SE,シークレットレア仕様,RD/KP14,轟炎のフェニックス,19317,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,images\19317_1.jpg,OK,
All-Seeing Harvey,RD/KP14-JP040,UR,ウルトラレア仕様,RD/KP14,轟炎のフェニックス,19317,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19317&ciid=1&enc=k_CeeLCtGDdqxXW9M8id9w&app=tournament&request_locale=ja,images\19317_1.jpg,OK,
Absolute Lord of D.,RD/AP01-JP080,SE,シークレットレア仕様,RD/AP01,アドバンスパック デビルズ・セレモニー,19426,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,images\19426_1.jpg,OK,
Absolute Lord of D.,RD/SD0A-JP005,N,ノーマル仕様,RD/SD0A,ストラクチャーデッキ 究極の青眼伝説,19426,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,images\19426_1.jpg,OK,
Absolute Lord of D.,RD/SD0A-JPS04,SR,スーパーレア仕様,RD/SD0A,ストラクチャーデッキ 究極の青眼伝説 特典カード,19426,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19426&ciid=1&enc=oTehWSSArsvJDRwbcgHulQ&app=tournament&request_locale=ja,images\19426_1.jpg,OK,
Accel Wonder Light,RD/SD0E-JP016,P,パラレル仕様,RD/SD0E,ストラクチャーデッキ 黒魔術の儀式,19548,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,images\19548_1.jpg,OK,
Accel Wonder Light,RD/5TH1-JP135,SE,シークレットレア仕様,RD/5TH1,5th ANNIVERSARY PACK,19548,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,images\19548_1.jpg,OK,
Accel Wonder Light,RD/MRP2-JP012,SR,スーパーレア仕様,RD/MRP2,メガロードパック２,19548,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19548&ciid=1&enc=ZA8NPa80m8Obz8L8o-5-jg&app=tournament&request_locale=ja,images\19548_1.jpg,OK,
Alligator's Black Knight,RD/KP15-JP026,N,ノーマル仕様,RD/KP15,闇黒のレッドリブート,19661,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19661&ciid=1&enc=BWRiMlyUNNqQyl0bj3s1Qw&app=tournament&request_locale=ja,images\19661_1.jpg,OK,
Abysskite Miracle Girls,RD/HC01-JP040,ORR,オーバーラッシュレア仕様,RD/HC01,ハイグレードコレクション,19778,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19778&ciid=101&enc=-WtXwGEGMwhpDnTywpikdA,images\19778_101.jpg,OK,
Abysskite Miracle Girls,RD/HC01-JP040,SR,スーパーレア仕様,RD/HC01,ハイグレードコレクション,19778,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19778&ciid=1&enc=-WtXwGEGMwhpDnTywpikdA&app=tournament&request_locale=ja,images\19778_1.jpg,OK,
Abysspiny Turtle,RD/HC01-JP081,N,ノーマル仕様,RD/HC01,ハイグレードコレクション,19797,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19797&ciid=1&enc=fS_hcmQ15ed0t620gx8h4w&app=tournament&request_locale=ja,images\19797_1.jpg,OK,
Abysspiny Turtle,RD/HC01-JP081,SR,スーパーレア仕様,RD/HC01,ハイグレードコレクション,19797,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19797&ciid=1&enc=fS_hcmQ15ed0t620gx8h4w&app=tournament&request_locale=ja,images\19797_1.jpg,OK,
Abysslayer Quintiamat,RD/KP16-JP021,ORR,オーバーラッシュレア仕様,RD/KP16,超越のトランザム,19969,101,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: ORR uses highest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&cid=19969&ciid=101&enc=LooN5XZS2CQW4JLGKMMUqw,images\19969_101.jpg,OK,
Abysslayer Quintiamat,RD/KP16-JP021,SE,シークレットレア仕様,RD/KP16,超越のトランザム,19969,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19969&ciid=1&enc=LooN5XZS2CQW4JLGKMMUqw&app=tournament&request_locale=ja,images\19969_1.jpg,OK,
Abysslayer Quintiamat,RD/KP16-JP021,UR,ウルトラレア仕様,RD/KP16,超越のトランザム,19969,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19969&ciid=1&enc=LooN5XZS2CQW4JLGKMMUqw&app=tournament&request_locale=ja,images\19969_1.jpg,OK,
Agent Mishap,RD/KP16-JP022,R,レア仕様,RD/KP16,超越のトランザム,19970,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19970&ciid=1&enc=cECnAhnqX4XUvYXEJ-qsgg&app=tournament&request_locale=ja,images\19970_1.jpg,OK,
Animagica Witch,RD/TB02-JP070,P,パラレル仕様,RD/TB02,トリプルビルドパック エボリューション・インパクト,19979,1,PACK_PAGE,matched cid on pack page,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,images\19979_1.jpg,OK,
Animagica Witch,RD/KP16-JP031,SE,シークレットレア仕様,RD/KP16,超越のトランザム,19979,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,images\19979_1.jpg,OK,
Animagica Witch,RD/KP16-JP031,SR,スーパーレア仕様,RD/KP16,超越のトランザム,19979,1,DETAIL_HEURISTIC_CONFIRMED,confirmed rule: non-ORR uses lowest ciid; pack page has one representative image for multiple printing rarities on the same cid/pid,https://www.db.yugioh-card.com/rushdb/get_image.action?type=1&osplang=1&cid=19979&ciid=1&enc=lrwY1IvvmQuTqUSzKTEYDQ&app=tournament&request_locale=ja,images\19979_1.jpg,OK,
